"","Renditen"
"1",0.207622175290069
"2",-0.452551631998715
"3",2.82720162786872
"4",1.61868012061384
"5",-0.922032710751419
"6",-0.172419706537197
"7",-1.36800732666329
"8",-0.0523158151623121
"9",1.10285030058647
"10",2.10506512817668
"11",-0.0927902614829431
"12",1.7190282670982
"13",0.494154815360709
"14",1.4826981739075
"15",-0.367688276737301
"16",0.396454278580556
"17",-0.222202470500454
"18",-0.443472026691196
"19",0.905937840872799
"20",-0.167229585227653
"21",0.559692124282461
"22",1.40622083869372
"23",-1.04659482591934
"24",-1.2063943104102
"25",-0.0165934669843256
"26",-0.535415916874108
"27",1.77897855035661
"28",0.323345426457605
"29",0.0883396459958519
"30",3.22842031115804
"31",-1.22189512114774
"32",0.032949111865803
"33",-0.0398505700745565
"34",-0.455970309189217
"35",0.0289080606400359
"36",-0.688380688930137
"37",-0.0332139125998879
"38",0.370550479686115
"39",-2.4465039662999
"40",0.881339310485698
"41",0.445450051012923
"42",-1.925115942235
"43",-0.327197431538788
"44",0.0550544265747653
"45",-0.204770182351882
"46",2.33141959544854
"47",1.26875391261061
"48",-0.852493080204901
"49",1.44352250124848
"50",-0.172802995883625
"51",-0.609629864813331
"52",-0.736538548187808
"53",0.542389470949858
"54",1.5543329414344
"55",-1.16584025616392
"56",-0.125434334205472
"57",0.824986591591449
"58",0.911243729591076
"59",-1.76912578910989
"60",1.42391673312507
"61",-0.0748710759545125
"62",0.452601224324348
"63",1.81743752099209
"64",0.0333788955083046
"65",-0.944311320701977
"66",0.18515867121557
"67",-1.23271545987268
"68",0.0223894788184751
"69",1.26832590664955
"70",-2.65445418877061
"71",0.200326905113974
"72",-0.504096026556608
"73",-0.313413206573724
"74",0.234484742606074
"75",0.763630033238601
"76",0.336807569618091
"77",-0.736143081178687
"78",-0.19156680601008
"79",-0.10651714410682
"80",-1.33677759286674
"81",3.36046598989053
"82",0.173564445588972
"83",-2.3649826170907
"84",-0.677246392077919
"85",-0.311908461378282
"86",1.01581082685052
"87",-0.0617445246350724
"88",-0.183385292167306
"89",0.368181524832364
"90",-0.07499426764795
"91",0.237422436538973
"92",0.0965332399091153
"93",-2.0809643553555
"94",0.337405792194651
"95",1.15048522790946
"96",0.0736531014319086
"97",-0.296813373296679
"98",0.348167299784868
"99",-2.53144042579284
"100",-0.823253013031266
"101",-0.942728890700412
"102",0.754694286635337
"103",-1.11851279250339
"104",-0.947730033027013
"105",0.873163744689335
"106",-0.448646885050288
"107",0.459304935433274
"108",-0.0451069260199735
"109",-0.14728648731403
"110",1.6237563513225
"111",-0.604347563954446
"112",-0.0143583176381413
"113",0.267119556337463
"114",-0.253736433126957
"115",1.59209386850374
"116",-1.25405467400099
"117",0.0606264948458424
"118",-0.50866240205124
"119",-0.754114325452966
"120",0.00587796115665269
"121",0.326262244042165
"122",0.433837960136851
"123",-0.151148029769558
"124",2.53207225039223
"125",-0.731501989285943
"126",-0.293120048147402
"127",0.341229158101275
"128",-0.448101921417887
"129",1.60227801424321
"130",-0.602010594569412
"131",-0.578768757449681
"132",-0.38054093869017
"133",-0.131861807221098
"134",0.992479743676934
"135",0.311527459700158
"136",-1.40991096261279
"137",-0.497906012421719
"138",-1.02753607084685
"139",0.386438780285542
"140",-0.429473812360239
"141",1.3934986269241
"142",-1.57579986770171
"143",-0.957194773854152
"144",0.00815670538781545
"145",1.35348202917884
"146",-1.3753878971281
"147",-0.717090681702801
"148",-1.26987830514995
"149",-1.21073234552285
"150",0.773555271795142
"151",0.601349346789813
"152",-0.777298938446077
"153",-1.47251151730099
"154",-1.58299217563738
"155",-2.9474544703293
"156",0.35599579860024
"157",-3.0196423312485
"158",0.233720534992255
"159",-1.76409476212716
"160",0.492399506604559
"161",1.05648877728713
"162",-1.3647293154567
"163",-0.160066047862326
"164",-0.745915078130531
"165",-0.310798177392956
"166",-0.89609573526646
"167",0.172662920301871
"168",0.441433488965588
"169",2.03300488878548
"170",-0.974322145097004
"171",0.68982779662476
"172",0.0334339587315531
"173",0.440009825322827
"174",1.96973585193894
"175",0.903790451847168
"176",0.270517322769482
"177",-0.632220886565829
"178",0.62275424182237
"179",0.923046821800547
"180",-0.4018048228544
"181",0.129724477619319
"182",0.458821256389948
"183",0.932641429614273
"184",0.440530764869323
"185",0.347684534238062
"186",0.3789712728832
"187",1.39493408065184
"188",-0.663672691244554
"189",-0.737083352099981
"190",-0.309574706277561
"191",-0.959860024620648
"192",-0.603494041134434
"193",0.109861076802696
"194",-0.651259445058226
"195",-1.26908302119822
"196",-0.253962044594578
"197",0.254447105083185
"198",-0.0111954112470477
"199",1.23825672104296
"200",-1.48492711577032
"201",1.17564291618877
"202",1.46584335537553
"203",0.482491097311978
"204",1.72581961043885
"205",-0.73207680441011
"206",-0.22620578024593
"207",-0.518334413862769
"208",0.819992621608786
"209",-2.3987976986566
"210",0.113370419932321
"211",0.436417885028174
"212",-0.511196710658919
"213",-0.222021540969358
"214",0.947451782185379
"215",-0.624993239076086
"216",-0.381321701721627
"217",-0.248928608124404
"218",0.357583890503488
"219",-0.865157471463683
"220",0.677345796107028
"221",0.333175396782032
"222",0.5889974596629
"223",-0.541060414835295
"224",-0.833711154335645
"225",0.386360066519964
"226",1.71051992285792
"227",-0.528883002608266
"228",-0.216062082717642
"229",-0.61265485991388
"230",0.778223416540975
"231",-0.016379614703922
"232",0.643002568478055
"233",-1.50596076776455
"234",1.07806947807917
"235",-0.084835285754334
"236",0.276428429799499
"237",0.706929067339496
"238",0.838989273356525
"239",0.258806255196212
"240",-0.702242386283736
"241",0.178674247345948
"242",2.05167753748233
"243",-1.11654011893648
"244",0.439833583367023
"245",0.487775481530301
"246",0.527824996611897
"247",2.29826601231042
"248",-0.466257078678031
"249",-0.0983053699579404
"250",3.1024590246718
"251",2.14794773591498
"252",-1.10734600484079
"253",-0.66038812937833
"254",0.818684303172406
"255",-1.19690769791309
"256",0.251939971225591
"257",0.24755789137075
"258",-0.0666951704190266
"259",0.761400301566782
"260",-0.535465074486104
"261",-0.0155511446745681
"262",1.83582914017045
"263",-0.231000589725629
"264",0.0583539770400483
"265",-0.0843536535259464
"266",-1.48480217168464
"267",0.158166706785271
"268",-1.11174129970093
"269",-0.382853742566913
"270",-2.43606106289742
"271",-2.05928360320295
"272",-0.587429213422752
"273",0.812987521513468
"274",-0.694377902123046
"275",-0.774046417473298
"276",0.104999381158495
"277",0.736282148025424
"278",0.842360706423373
"279",0.405216268839485
"280",0.72992650904171
"281",1.02560702725878
"282",-1.8123107917676
"283",-0.932535161437878
"284",0.136337262017512
"285",-0.855942506478898
"286",0.865248134046475
"287",-1.05771700406787
"288",-1.16702062802533
"289",1.02375127630536
"290",-1.52465160406138
"291",-0.612178687902248
"292",-0.304232239210613
"293",-0.321975145049925
"294",1.08464924872446
"295",0.77416771675236
"296",1.22986235985564
"297",-0.882843474839143
"298",1.42932746090764
"299",0.284867567098523
"300",0.349315346909118
"301",-0.190466670730234
"302",-0.227728308390576
"303",3.5413289157877
"304",-0.940866941357948
"305",-0.887980081723004
"306",1.65435738764994
"307",0.102513969145294
"308",1.36066137834961
"309",-1.70922195471979
"310",0.222216012343024
"311",0.542543651080679
"312",-0.261454231537775
"313",-1.03030919019954
"314",-0.560710904999
"315",0.212828004400694
"316",0.0375731940202262
"317",-1.10852510534413
"318",-1.46840502658629
"319",-0.534802384860239
"320",0.662132315495096
"321",-1.55027450763502
"322",1.36173899431061
"323",-1.12036344971819
"324",0.697967273010009
"325",-0.27476686340219
"326",-0.640002660462483
"327",1.74210825925784
"328",0.59737582919736
"329",-0.827683808779574
"330",-0.343434714927412
"331",-0.869242331223988
"332",2.8708129846719
"333",0.0795728339696267
"334",2.09025600736984
"335",-0.816238019137631
"336",1.22316678566908
"337",-0.117302854823007
"338",1.94057342910845
"339",-0.830569601309311
"340",0.926225336393885
"341",-0.634189751548611
"342",-0.756054706587793
"343",0.260843979631224
"344",-0.21906398916909
"345",0.654903356355012
"346",0.504069844366005
"347",0.776323398181879
"348",0.0500185460134641
"349",-0.297597371437892
"350",2.18714130169607
"351",1.05105292689837
"352",-1.02817270427683
"353",1.70010950376177
"354",1.67964594796396
"355",0.361771008876245
"356",1.21093754568443
"357",1.46374554540863
"358",0.56949023756209
"359",-0.785731186994982
"360",0.253696150010513
"361",0.314894367339649
"362",0.769712875097952
"363",-0.308301792755163
"364",-0.49629087330911
"365",-0.260125227121836
"366",0.758427900916748
"367",0.0406268403606321
"368",-1.04111206394266
"369",-0.229384832886483
"370",0.168092283182606
"371",0.182123782295709
"372",0.00796899975580296
"373",-2.0522663023054
"374",-0.452159154417893
"375",0.560918482883716
"376",1.31114832549227
"377",0.504662009440356
"378",0.318125743701922
"379",1.48921169557116
"380",-0.670330108450568
"381",-0.754857597983337
"382",0.391956307379136
"383",1.13054665536332
"384",0.639589133509096
"385",0.347883540539099
"386",-1.50055529884674
"387",0.640478405310317
"388",0.263425591063705
"389",-0.623503571557866
"390",0.122299378085897
"391",0.536900852153276
"392",-0.703419167579349
"393",0.800269331143562
"394",0.740947550504645
"395",0.203948443300695
"396",-0.461946439580009
"397",0.706319808873924
"398",1.00308738060245
"399",-0.785678133451847
"400",1.29995988531144
"401",-2.83882090578328
"402",-0.480981470925974
"403",-0.647705351509059
"404",0.649785468886174
"405",-2.12237142041682
"406",0.852042886397209
"407",-0.189035343635189
"408",0.0679486876097752
"409",0.195411902525777
"410",0.185010400953925
"411",0.377731223029461
"412",-0.0850429809779344
"413",-1.19576852852089
"414",0.769639699310134
"415",-0.305336663691954
"416",-1.45233142446752
"417",-1.91327631141126
"418",0.666716883684456
"419",0.588746105943131
"420",0.575763443603496
"421",0.185327954471104
"422",-0.407919642429014
"423",0.750129312969763
"424",-0.907880205406275
"425",-1.12640572086298
"426",-1.35933521318795
"427",-0.639695947122126
"428",0.756396793705142
"429",2.21285874370257
"430",0.742978276081396
"431",0.10170145885689
"432",0.642847552053927
"433",-0.149958984134697
"434",-0.425599841304623
"435",-1.29798272853271
"436",0.170133632346916
"437",-1.4192705918738
"438",-2.30698859083522
"439",0.44076544786514
"440",-1.06978734865251
"441",-0.576589028984651
"442",0.981146424902965
"443",1.10371288806591
"444",0.384131413521201
"445",0.649505857907103
